Municipi;Codi;Altitud (m);Superfície (km²);Població;longitud;latitud
Garidells, els;430666;132;3,07;204;1.2467292;41.20736646
Garriga, la;80885;252;18,80;17277;1.76305595;41.86814344
Garrigàs;170754;101;19,89;470;2.9540785;42.19342361
Garrigoles;170767;92;9,40;186;3.02077174;42.10407368
Garriguella;170773;56;21,01;967;3.06427414;42.34228001
Gavà;80898;9;30,75;47961;2.00333567;41.30315785
Gavet de la Conca;250984;421;90,90;262;0.92040964;42.12336671
Gelida;80919;196;26,70;8078;1.86372445;41.44076893
Ger;170789;1135;33,38;494;1.84421361;42.41076591
Gimenells i el Pla de la Font;259123;258;55,84;1095;0.38718263;41.65345364
Ginestar;430672;26;15,84;800;0.63435551;41.04184318
Girona;170792;70;39,12;106476;2.82466634;41.98319092
Gironella;80924;469;6,78;5072;1.88282994;42.03355593
Gisclareny;80930;1340;36,47;30;1.78671294;42.24992142
Godall;430688;168;33,62;621;0.46973434;40.65506982
Golmés;250997;275;16,62;1913;0.93251836;41.63253599
Gombrèn;170806;919;43,26;197;2.09099664;42.24832693
Gósol;251001;1423;56,29;214;1.66020328;42.23695691
Granada, la;80945;272;6,52;2263;1.71892363;41.37841979
Granadella, la;251018;528;88,70;762;0.66484227;41.35552
Granera;80958;782;23,73;83;2.0566671;41.72544094
Granja d'Escarp, la;251023;78;38,51;941;0.35222509;41.41843885
Granollers;80961;145;14,87;63897;2.28754997;41.60795645
Granyanella;251039;508;24,35;140;1.22816483;41.66579854
Granyena de les Garrigues;251057;366;20,47;164;0.64920665;41.43284447
Granyena de Segarra;251044;636;16,30;147;1.24685752;41.62351083
Gratallops;430691;321;13,52;232;0.77679766;41.19333267
Gualba;80977;177;23,29;1743;2.50188981;41.73155161
Gualta;170813;15;9,02;428;3.10355184;42.02850116
Guardiola de Berguedà;80996;720;61,73;951;1.87918008;42.23347718
Guiamets, els;430705;226;12,14;256;0.75200433;41.10198725
Guils de Cerdanya;170828;1385;22,02;568;1.87940583;42.44853757
Guimerà;251095;555;25,76;249;1.18519725;41.56430098
Guingueta d'Àneu, la;259031;919;108,42;283;1.13133121;42.59494465
Guissona;251109;484;18,10;7586;1.28870621;41.78519066
Guixers;251116;840;66,44;135;1.66625669;42.13274231
Gurb;81000;516;51,57;2711;2.2444015;41.94004888
Horta de Sant Joan;430712;542;118,99;1157;0.31680015;40.95390526
Hospitalet de Llobregat, l';81017;8;12,40;282299;2.09972537;41.35969846
Hostalets de Pierola, els;81629;361;33,49;3232;1.7693725;41.53475859
Hostalric;170834;189;3,39;4443;2.63683667;41.74599253
Igualada;81022;313;8,11;41755;1.61722895;41.57868132
Isona i Conca Dellà;251155;659;139,37;1042;1.04878348;42.11776356
Isòvol;170849;1088;10,81;330;1.83861654;42.39834312
Ivars d'Urgell;251137;265;24,32;1591;0.98567646;41.68291349
Ivars de Noguera;251121;314;27,14;319;0.5858797;41.85017882
Ivorra;251142;567;15,36;102;1.39565748;41.77202373
Jafre;170852;44;6,64;387;3.01061708;42.07197571
Jonquera, la;170865;110;56,93;3361;2.8742563;42.41741551
Jorba;81038;380;30,90;827;1.54743915;41.60189934
Josa i Tuixén;259101;1206;68,16;123;1.56754185;42.23063594
Juià;170871;94;8,36;345;2.90679884;42.01711737
Juncosa;251180;575;76,49;389;0.77536977;41.37156183
Juneda;251193;264;47,33;3523;0.82509368;41.54944687
Les;251214;634;23,45;1031;0.71045741;42.81008921
Linyola;251229;248;28,66;2737;0.90467345;41.71071947
Llacuna, la;81043;615;52,23;984;1.5337889;41.47257065
Lladó;170887;197;13,50;828;2.81380313;42.24760608
Lladorre;251235;1052;146,98;254;1.24950341;42.62110257
Lladurs;251240;834;128,03;185;1.50825066;42.04466665
Llagosta, la;81056;45;3,03;13070;2.19296699;41.51291665
Llagostera;170890;160;76,38;9486;2.89201713;41.82891255
Llambilles;170904;143;14,58;728;2.8595106;41.92110342
Llanars;170911;983;24,73;515;2.34398894;42.32044312
